atlasId,cohortId,id,cohortName
9696,9696,9696,[ASSURE-OD] Warm Autoimmune Hemolytic Anemia (wAIHA)
9697,9697,9697,[ASSURE-OD] Cold Autoimmune Hemolytic Anemia
9305,9305,9305,[ASSURE-OD] Hemolytic Disorder
8685,8685,8685,[ASSURE-OD] Extra corpuscular (acquired) Hemolytic Anemia (diagnosis only)
8868,8868,8868,[ASSURE-OD] Acquired Autoimmune Hemolytic Anemia
8867,8867,8867,[ASSURE-OD] Extra corpuscular (acquired) Hemolytic Anemia excl Autoimmune HA
8865,8865,8865,[ASSURE-OD] Extra corpuscular (acquired) Hemolytic Anemia
9693,9693,9693,[ASSURE-OD] Congenital or Genetic abnormality of red blood cell or anemia with hemolysis
8595,8595,8595,[ASSURE-OD] Hemolytic Anemia
9959,9959,9959,[ASSURE-OD] Glucose-6-phosphate dehydrogenase deficiency Hemolytic Anemia
